id,Рецепт,Ссылка
4499,Морковное пюре с сельдереем,https://www.russianfood.com/recipes/recipe.php?rid=164160
4500,Постный плов из пшенной крупы,https://www.russianfood.com/recipes/recipe.php?rid=138919
4501,"Свежая и кислая капуста, тушенная с грибами",https://www.russianfood.com/recipes/recipe.php?rid=134414
4503,Яйца Пармантье,https://www.russianfood.com/recipes/recipe.php?rid=126475
4504,Пюре из картофеля и кабачков,https://www.russianfood.com/recipes/recipe.php?rid=124726
4505,"Брокколи, печенная в духовке",https://www.russianfood.com/recipes/recipe.php?rid=128739
4506,Чечевица с курагой и орехами,https://www.russianfood.com/recipes/recipe.php?rid=170278
4507,Суфле из молодой капусты с сыром,https://www.russianfood.com/recipes/recipe.php?rid=167241
4508,Жареный картофель,https://www.russianfood.com/recipes/recipe.php?rid=116321
4509,Запеченная морковь,https://www.russianfood.com/recipes/recipe.php?rid=126164
4510,Рагу из шампиньонов,https://www.russianfood.com/recipes/recipe.php?rid=127532
4512,Соус из земляники,https://www.russianfood.com/recipes/recipe.php?rid=140811
4513,Варенье из земляники лесной,https://www.russianfood.com/recipes/recipe.php?rid=55243
4514,"Картошка ""Веер""",https://www.russianfood.com/recipes/recipe.php?rid=133340
4516,"Свёкла, тушенная с маринованными огурцами и чесноком",https://www.russianfood.com/recipes/recipe.php?rid=177332
4517,Картофельное пюре с беконом и сыром чеддер,https://www.russianfood.com/recipes/recipe.php?rid=126813
4518,"Картофель в духовке, запечённый с тремя видами сыра",https://www.russianfood.com/recipes/recipe.php?rid=169751
4519,Картофельное пюре с тремя видами сыра,https://www.russianfood.com/recipes/recipe.php?rid=166708
4522,Рагу с шампиньонами,https://www.russianfood.com/recipes/recipe.php?rid=127738
4523,"Молодая капуста, запечённая со сливками и вином",https://www.russianfood.com/recipes/recipe.php?rid=173421
4524,Овощное рагу с рисом (в медленноварке),https://www.russianfood.com/recipes/recipe.php?rid=123892
4525,Картофельное пюре с сыром,https://www.russianfood.com/recipes/recipe.php?rid=130978
4526,Стручковая фасоль с жареными орехами,https://www.russianfood.com/recipes/recipe.php?rid=115625
4527,Пшеничная каша с капустой,https://www.russianfood.com/recipes/recipe.php?rid=169753
4528,Странголапрети (ньокки со шпинатом),https://www.russianfood.com/recipes/recipe.php?rid=119778
4529,Запеченный лук,https://www.russianfood.com/recipes/recipe.php?rid=134042
4532,"Молодой картофель с луком, запеченный в духовке",https://www.russianfood.com/recipes/recipe.php?rid=118844
4533,"Молодая картошка, запечённая с сухарями",https://www.russianfood.com/recipes/recipe.php?rid=176171
4534,"Овощи ""Агродольче""",https://www.russianfood.com/recipes/recipe.php?rid=133796
4536,"Картофельное пюре с перловкой, беконом и луком",https://www.russianfood.com/recipes/recipe.php?rid=170441
4539,"Террин из баклажанов, сладкого перца и брынзы",https://www.russianfood.com/recipes/recipe.php?rid=152345
4540,Тушеная молодая капуста с грибами и картофелем,https://www.russianfood.com/recipes/recipe.php?rid=127056
4541,Картофельные котлеты с грецкими орехами и кабачками,https://www.russianfood.com/recipes/recipe.php?rid=165568
4544,Запечённый картофель,https://www.russianfood.com/recipes/recipe.php?rid=140191
4545,Капуста тушеная с гречкой,https://www.russianfood.com/recipes/recipe.php?rid=130413
4547,Горячий кукурузный салат,https://www.russianfood.com/recipes/recipe.php?rid=129119
4549,"Картофель в мундире, запечённый в горчичном соусе",https://www.russianfood.com/recipes/recipe.php?rid=166583
4550,"Картофель ""в чалме""",https://www.russianfood.com/recipes/recipe.php?rid=142783
4551,Сливочно-земляничный торт,https://www.russianfood.com/recipes/recipe.php?rid=134483
4552,Молочный коктейль с земляникой,https://www.russianfood.com/recipes/recipe.php?rid=136597
4553,Фруктово-ягодное ассорти с сыром,https://www.russianfood.com/recipes/recipe.php?rid=127310
4554,Фасоль с рисом,https://www.russianfood.com/recipes/recipe.php?rid=131015
4555,Картофельная запеканка по-монастырски,https://www.russianfood.com/recipes/recipe.php?rid=121795
4556,Тушеная капуста вирзинг (савойская) в сливочном соусе (Rahmwirsing),https://www.russianfood.com/recipes/recipe.php?rid=125040
4557,Картофельное пюре на гарнир,https://www.russianfood.com/recipes/recipe.php?rid=119986
4558,"""Тающий"" картофель",https://www.russianfood.com/recipes/recipe.php?rid=148468
